std.abs(),java.lang.math.abs()
std.fgets(),java.util.hashmap.get()
std.memmove(),java.util.queue.remove()
std.fputs(),java.util.hashmap.put()
std.swprintf(),java.io.printwriter.print()
std.ungetc(),java.util.hashmap.get()
std.putc(),java.util.hashmap.put()
std.setbase(),javax.swing.jlabel.setname()
std.setbase(),javax.swing.jscrollpane.setname()
std.setbase(),javax.swing.jtabbedpane.setname()
